turn_id,pause_index,p_eot
hi__000,0,0.0627
hi__000,1,0.3295
hi__000,2,0.6278
hi__001,0,0.1715
hi__001,1,0.4929
hi__002,0,0.4288
hi__003,0,0.5156
hi__004,0,0.4476
hi__005,0,0.3348
hi__005,1,0.5581
hi__006,0,0.3514
hi__006,1,0.5294
hi__006,2,0.3455
hi__007,0,0.0846
hi__007,1,0.5720
hi__007,2,0.5519
hi__007,3,0.5720
hi__007,4,0.3665
hi__007,5,0.7639
hi__008,0,0.4978
hi__009,0,0.4846
hi__010,0,0.1496
hi__010,1,0.1286
hi__010,2,0.4027
hi__010,3,0.7876
hi__011,0,0.6638
hi__011,1,0.5273
hi__011,2,0.3795
hi__012,0,0.2211
hi__012,1,0.2819
hi__012,2,0.4311
hi__012,3,0.6713
hi__012,4,0.5641
hi__012,5,0.3867
hi__013,0,0.4338
hi__014,0,0.7038
hi__014,1,0.6111
hi__014,2,0.3183
hi__014,3,0.6918
hi__014,4,0.7259
hi__014,5,0.7625
hi__015,0,0.5156
hi__016,0,0.2828
hi__017,0,0.3063
hi__017,1,0.3301
hi__018,0,0.5917
hi__018,1,0.3175
hi__018,2,0.4379
hi__019,0,0.1308
hi__019,1,0.4006
hi__019,2,0.6473
hi__019,3,0.5016
hi__019,4,0.4379
hi__020,0,0.3418
hi__020,1,0.8074
hi__021,0,0.5849
hi__022,0,0.1111
hi__022,1,0.1624
hi__022,2,0.6970
hi__022,3,0.1037
hi__022,4,0.3559
hi__022,5,0.2391
hi__022,6,0.7228
hi__022,7,0.5972
hi__023,0,0.7905
hi__024,0,0.5305
hi__025,0,0.0649
hi__025,1,0.4349
hi__025,2,0.4730
hi__026,0,0.4995
hi__027,0,0.4380
hi__027,1,0.4630
hi__028,0,0.5137
hi__028,1,0.5239
hi__029,0,0.4713
hi__029,1,0.2819
hi__029,2,0.3444
hi__029,3,0.5720
hi__030,0,0.8710
hi__031,0,0.0667
hi__031,1,0.3560
hi__032,0,0.0905
hi__032,1,0.4477
hi__033,0,0.2848
hi__033,1,0.3209
hi__033,2,0.3021
hi__034,0,0.5521
hi__034,1,0.3783
hi__034,2,0.6184
hi__035,0,0.4839
